symbol,update_date,sales,profit,operating,real_profit
COO,210430.0,719.5,487.1,143.2,117.5
COO,210131.0,680.5,450.7,133.4,2101.1
COO,201031.0,681.6,424.0,100.1,81.2
COO,200731.0,578.2,360.8,72.0,55.2
CPRT,210430.0,733.91,381.34,328.11,286.8
CPRT,210131.0,617.03,307.5,258.22,193.44
CPRT,201031.0,592.94,296.77,248.59,200.28
CPRT,200731.0,525.66,250.43,205.72,165.53
GLW,210331.0,3290.0,1156.0,502.0,599.0
GLW,201231.0,3350.0,1213.0,476.0,252.0
GLW,200930.0,3001.0,1001.0,755.0,427.0
GLW,200630.0,2561.0,756.0,-103.0,-71.0
CTVA,210331.0,4178.0,1758.0,461.0,600.0
CTVA,201231.0,3207.0,1095.0,-125.0,41.0
CTVA,200930.0,1863.0,566.0,-525.0,-392.0
CTVA,200630.0,5191.0,2362.0,785.0,760.0
COST,210509.0,45277.0,5862.0,1663.0,1220.0
COST,210214.0,44769.0,5691.0,1340.0,951.0
COST,201122.0,43208.0,5750.0,1430.0,1166.0
COST,200830.0,53383.0,7046.0,1929.0,1389.0
CCI,210331.0,1485.0,1023.0,305.0,58.0
CCI,201231.0,1493.0,971.0,682.0,508.0
CCI,200930.0,1486.0,999.0,339.0,163.0
CCI,200630.0,1440.0,954.0,383.0,200.0
CSX,210331.0,2813.0,2154.0,1101.0,706.0
CSX,201231.0,2825.0,2241.0,1215.0,760.0
CSX,200930.0,2648.0,2151.0,1141.0,736.0
